,0,1,2,3,4
pressure,5e-05,5e-05,5e-05,2.7e-05,2.9e-05
Vbias,120,120,120,120,120
Ibias,1.0,1.0,1.0,5.1,1.7
Varc,65.0,65.5,65.5,65.5,65.5
Iarc,0.41,0.39,0.39,3.95,1.29
Ibase,0.044,0.116,0.116,0.099,0.105
Vext,-3980.0,5.15,5.15,6000.0,6000.0
Iext,0.1,0.3,0.3,3.8,0.1
Ve1,-2.321,0.0,0.0,-2318.0,-2777.0
Ie1,-0.95,-0.19,-0.19,-1.27,-1.65
Ve23,0,0,0,0,0
Ie23,0,0,0,0,0
note,,,,,
time,201215_152941,201215_153210,201215_153222,201215_154401,201215_154829
C0,-6.818e-05,9.675e-05,9.775e-05,-0.0001217,-0.0001099
C1,-0.0001363,0.0005518,0.0005384,-0.0002549,0.0001584
C2,0.0004176,0.00141,0.001412,-0.0002136,-6.935e-05
C3,0.002738,0.000965,0.000973,0.00424,0.005383
C4,0.0004908,0.0003329,0.0003352,0.0001226,0.0003691
C5,-3.899e-05,5.908e-05,5.368e-05,0.0005481,0.0009618
C6,-2.422e-05,1.125e-05,7.634e-06,2.797e-05,1.685e-05
